position_category_id,corrupt0_category,nacc_category_number,nacc_category,nacc_sub_category_number,nacc_sub_category
1,สมาชิกสภานิติบัญญัติแห่งชาติ,,สมาชิกสภานิติบัญญัติแห่งชาติ,,สมาชิกสภานิติบัญญัติแห่งชาติ
2,นายกรัฐมนตรีและรัฐมนตรี,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.1,นายกรัฐมนตรี
3,นายกรัฐมนตรีและรัฐมนตรี,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.2,รัฐมนตรี
4,สมาชิกสภาผู้แทนราษฎร,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.3,สมาชิกสภาผู้แทนราษฎร
5,สมาชิกวุฒิสภา,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.4,สมาชิกวุฒิสภา
6,ข้าราชการการเมือง,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.5,ข้าราชการการเมืองอื่น
7,ข้าราชการการเมือง,1.0,ผู้ดำรงตำแหน่งทางการเมือง,1.6,ข้าราชการรัฐสภาฝ่ายการเมือง
8,ตุลาการศาลรัฐธรรมนูญ,2.0,ตุลาการศาลรัฐธรรมนูญ,2,ตุลาการศาลรัฐธรรมนูญ
9,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.0,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.1,คณะกรรมการการเลือกตั้ง
10,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.0,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.2,ผู้ตรวจการแผ่นดิน
11,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.0,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.3,คณะกรรมการตรวจเงินแผ่นดิน
12,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.0,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.4,คณะกรรมการสิทธิมนุษยชนแห่งชาติ
13,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.0,ผู้ดำรงตำแหน่งในองค์กรอิสระ,3.5,ผู้ว่าการตรวจเงินแผ่นดิน
14,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,4.0,ข้าราชการตุลาการศาลยุติธรรม,4,ข้าราชการฝ่ายตุลาการศาลยุติธรรม
15,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,5.0,ข้าราชการตุลาการศาลปกครอง,5,ข้าราชการตุลาการศาลปกครอง
16,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,6.0,ข้าราชการอัยการ,6,ข้าราชการอัยการ
17,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.1,ข้าราชการพลเรือน
18,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.2,ข้าราชการทหาร
19,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.3,ผู้บัญชาการตำรวจแห่งชาติ
20,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.4,ผู้ว่าราชการจังหวัด
21,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.5,ปลัดกรุงเทพมหานคร
22,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.6,กรรมการและผู้บริหารสูงสุดของรัฐวิสาหกิจตามกฎหมายว่าด้วยวิธีการงบประมาณ
23,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.7,หัวหน้าหน่วยงานขององค์กรอิสระตามรัฐธรรมนูญ
24,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.8,กรรมการและผู้บริหารสูงสุดของหน่วยงานอื่นของรัฐ
25,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.9,ตำแหน่งอื่นตามที่กฎหมายกำหนดให้เป็นผู้ดำรงตำแหน่งระดับสูง
26,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.1,ผู้ซึ่งดำรงตำแหน่งเทียบเท่าตามที่คณะกรรมการ ป.ป.ช. กำหนด
27,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,8.0,ตำแหน่งอื่นตามที่กฎหมายอื่นกำหนดให้มีหน้าที่ยื่นบัญชีทรัพย์สินและหนี้สิน,8,ตำแหน่งอื่น
28,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นกรุงเทพมหานคร
29,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นพัทยา
30,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นองค์การบริหารส่วนจังหวัด
31,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นองค์การบริหารส่วนตำบล
32,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลตำบล
33,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลนคร
34,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลเมือง
